date,customer_id,product,price,quantity,coupon_code,shipping_city
11/23/2024,CUST2824,Laptop,744.13,4,SAVE20,Los Angeles
02/22/2024,CUST9935,Laptop,594.59,1,SAVE10,New York
04/21/2024,CUST4811,Charger,606.0,9,SAVE20,new york
11/28/2024,CUST9928,Headphones,228.24,10,FREESHIP,LA
01/04/2024,CUST3615,Headphones,346.85,3,SAVE20,LA
06/21/2024,CUST2674,Laptop,386.13,6,FREESHIP,Phoenix
05/15/2024,CUST1711,Headphones,540.87,7,SAVE10,Phoenix
05/30/2024,CUST6925,Charger,200.37,2,SAVE10,new york
04/26/2024,CUST5741,Laptop,856.76,2,INVALID,Chicago
08/20/2024,CUST6977,Phone,376.48,4,FREESHIP,new york
12/15/2024,CUST2169,Charger,638.63,9,SAVE20,Los Angeles
08/24/2024,CUST7216,Tablet,989.63,9,SAVE20,new york
06/15/2024,CUST1916,Phone,823.58,6,INVALID,Chicago
02/03/2024,CUST4456,Charger,877.6,6,SAVE20,new york
09/12/2024,CUST7482,Headphones,151.44,3,SAVE20,new york
10/14/2024,CUST9830,Tablet,749.54,7,,Houston
07/04/2024,CUST4593,Phone,514.43,2,SAVE10,LA
02/26/2024,CUST3504,Phone,794.16,7,,New York
07/16/2024,CUST7252,Charger,996.16,9,FREESHIP,Phoenix
01/06/2024,CUST2876,Charger,753.37,6,SAVE10,Chicago
08/10/2024,CUST3591,Headphones,13.21,5,,LA
04/01/2024,CUST9317,Laptop,871.81,5,,Phoenix
04/11/2024,CUST3504,Tablet,764.89,9,,New York
11/02/2024,CUST6310,Headphones,29.28,6,FREESHIP,Los Angeles
01/30/2024,CUST4946,Charger,947.48,2,INVALID,LA
02/05/2024,CUST9727,Phone,137.11,8,,Los Angeles
05/15/2024,CUST9645,Charger,428.91,4,,LA
12/19/2024,CUST4295,Tablet,405.0,6,INVALID,Phoenix
08/19/2024,CUST2982,Phone,232.45,6,SAVE10,Phoenix
10/10/2024,CUST4770,Charger,228.02,2,SAVE10,Los Angeles
02/04/2024,CUST1514,Tablet,80.15,4,FREESHIP,new york
09/05/2024,CUST4510,Charger,140.99,10,,Houston
05/04/2024,CUST8749,Headphones,198.51,2,INVALID,Chicago
08/04/2024,CUST7735,Headphones,865.2,1,SAVE10,New York
07/25/2024,CUST6559,Laptop,256.17,4,,Houston
03/12/2024,CUST7912,Phone,285.76,4,SAVE10,Houston
